national_socialist_AAB;安提瓜和巴布达绿党;Green Antigua and Barbuda;Green Antigua and Barbuda;;Green Antigua and Barbuda;;;;;;;;;;x
fascistic_AAB;独立党;Sovereign Party;Sovereign Party;;Sovereign Party;;;;;;;;;;x
paternal_autocrat_AAB;安提瓜-巴布达党;Antiguan-Barbudan Party;Antiguan-Barbudan Party;;Antiguan-Barbudan Party;;;;;;;;;;x
social_conservative_AAB;巴布达人民运动;Barbuda People's Movement;Barbuda People's Movement;;Barbuda People's Movement;;;;;;;;;;x
market_liberal_AAB;安提瓜自由党;Antigua Freedom Party;Antigua Freedom Party;;Antigua Freedom Party;;;;;;;;;;x
social_liberal_AAB;联合进步党;United Proggressive Party;United Proggressive Party;;United Proggressive Party;;;;;;;;;;x
social_democrat_AAB;安提瓜劳动党;Antigua Labour Party;Antigua Labour Party;;Antigua Labour Party;;;;;;;;;;x
left_wing_radical_AAB;左翼党;Leftist Party;Leftist Party;;Leftist Party;;;;;;;;;;x
leninist_AAB;Socialist Party;社会党;Socialist Party;;Socialist Party;;;;;;;;;;x
stalinist_AAB;Communist Party;共产党;Communist Party;;Communist Party;;;;;;;;;;x
national_socialist_AFG;解放党;Hizb ut-Tahrir;Hizb ut-Tahrir;;Hizb ut-Tahrir;;;;;;;;;;x
fascistic_AFG;阿富汗全国团结运动;National Solidarity Movement of Afghanistan;National Solidarity Movement of Afghanistan;;National Solidarity Movement of Afghanistan;;;;;;;;;;x
paternal_autocrat_AFG;阿富汗全国团结党;National Solidarity Party of Afghanistan;National Solidarity Party of Afghanistan;;National Solidarity Party of Afghanistan;;;;;;;;;;x
social_conservative_AFG;阿富汗现实党;Haqiqat e Afghan Association;Haqiqat e Afghan Association;;Haqiqat e Afghan Association;;;;;;;;;;x
market_liberal_AFG;阿富汗共和党;Republican Party of Afghanistan;Republican Party of Afghanistan;;Republican Party of Afghanistan;;;;;;;;;;x
social_liberal_AFG;阿富汗国会党;National Congress Party of Afghanistan;National Congress Party of Afghanistan;;National Congress Party of Afghanistan;;;;;;;;;;x
social_democrat_AFG;阿富汗社会民主党;Parti social d閙ocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdem骳rata Afgano;;;;;;;;;;x
left_wing_radical_AFG;伊斯兰促进会 ;Jamiat-e Islami;Dschamiat-i Islami;;Jamiati Islami;;;;;;;;;;x
leninist_AFG;阿富汗伊斯兰协会;Hezbi Islami;Hizb-i Islami;;Hezbi Islami;;;;;;;;;;x
stalinist_AFG;阿富汗共产党;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganist醤;;;;;;;;;;x
national_socialist_ALB;Shqip雛ia e Gjelb雛;Shqip雛ia e Gjelb雛;Shqip雛ia e Gjelb雛;;Shqip雛ia e Gjelb雛;;;;;;;;;;x
