m;;;;;;;;;;;;;;x
REB;反抗军;;;;;;;;;;;;;;x
GER;德国;;;;;;;;;;;;;;x
ENG;英国;;;;;;;;;;;;;;x
SOV;俄罗斯;;;;;;;;;;;;;;x
USA;美国;;;;;;;;;;;;;;x
JAP;日本;;;;;;;;;;;;;;x
FRA;法国;;;;;;;;;;;;;;x
ITA;意大利;;;;;;;;;;;;;;x
DEN;丹麦;;;;;;;;;;;;;;x
ICL;冰岛;;;;;;;;;;;;;;x
EST;爱沙尼亚;;;;;;;;;;;;;;x
FIN;芬兰;;;;;;;;;;;;;;x
LAT;拉脱维亚;;;;;;;;;;;;;;x
LIT;立陶宛;;;;;;;;;;;;;;x
NOR;挪威;;;;;;;;;;;;;;x
SWE;瑞典;;;;;;;;;;;;;;x
BEL;比利时;;;;;;;;;;;;;;x
HOL;荷兰;;;;;;;;;;;;;;x
IRE;爱尔兰;;;;;;;;;;;;;;x
LUX;卢森堡;;;;;;;;;;;;;;x
SCO;苏格兰;;;;;;;;;;;;;;x
AUS;奥地利;;;;;;;;;;;;;;x
CZE;捷克;;;;;;;;;;;;;;x
CRO;克罗地亚;;;;;;;;;;;;;;x
HUN;匈牙利;;;;;;;;;;;;;;x
POL;波兰;;;;;;;;;;;;;;x
ROM;罗马尼亚;;;;;;;;;;;;;;x
SLO;斯洛伐克;;;;;;;;;;;;;;x
SLV;斯洛文尼亚;;;;;;;;;;;;;;x
SCH;瑞士;;;;;;;;;;;;;;x
POR;葡萄牙;;;;;;;;;;;;;;x
SPA;西班牙;;;;;;;;;;;;;;x
SPR;西班牙;;;;;;;;;;;;;;x
ALB;阿尔巴尼亚;;;;;;;;;;;;;;x
BOS;波斯尼亚和黑塞哥维那;;;;;;;;;;;;;;x
BUL;保加利亚;;;;;;;;;;;;;;x
GRE;希腊;;;;;;;;;;;;;;x
MTN;黑山;;;;;;;;;;;;;;x
TNZ;坦桑尼亚;;;;;;;;;;;;;;x
SER;塞尔维亚;;;;;;;;;;;;;;x
BLR;白俄罗斯;;;;;;;;;;;;;;x
PRI;普利摩斯克;;;;;;;;;;;;;;x
UKR;乌克兰;;;;;;;;;;;;;;x
AFG;阿富汗;;;;;;;;;;;;;;x
ARM;亚美尼亚;;;;;;;;;;;;;;x
AZB;阿塞拜疆;;;;;;;;;;;;;;x
CYP;塞浦路斯;;;;;;;;;;;;;;x
GEO;格鲁吉亚;;;;;;;;;;;;;;x
IRQ;伊拉克;;;;;;;;;;;;;;x
ISR;以色列;;;;;;;;;;;;;;x
JOR;约旦;;;;;;;;;;;;;;x
LEB;黎巴嫩;;;;;;;;;;;;;;x
OMN;阿曼;;;;;;;;;;;;;;x
PAL;巴勒斯坦;;;;;;;;;;;;;;x
PER;伊朗;;;;;;;;;;;;;;x
SAU;沙特阿拉伯;;;;;;;;;;;;;;x
SYR;叙利亚;;;;;;;;;;;;;;x
TUR;土耳其;;;;;;;;;;;;;;x
YEM;也门;;;;;;;;;;;;;;x
KAZ;哈萨克斯坦;;;;;;;;;;;;;;x
KUR;库尔德斯坦;;;;;;;;;;;;;;x
KYG;吉尔吉斯斯坦;;;;;;;;;;;;;;x
TAJ;塔吉克斯坦;;;;;;;;;;;;;;x
TRK;土库曼斯坦;;;;;;;;;;;;;;x
UZB;乌兹别克斯坦;;;;;;;;;;;;;;x
BHU;不丹;;;;;;;;;;;;;;x
IND;印度;;;;;;;;;;;;;;x
NEP;尼泊尔;;;;;;;;;;;;;;x
PAK;巴基斯坦;;;;;;;;;;;;;;x
CHC;中华人民共和国;;;;;;;;;;;;;;x
CHI;中华民国;;;;;;;;;;;;;;x
KOR;韩国;;;;;;;;;;;;;;x
MON;蒙古;;;;;;;;;;;;;;x
PRK;朝鲜;;;;;;;;;;;;;;x
BRU;文莱;;;;;;;;;;;;;;x
BUR;缅甸;;;;;;;;;;;;;;x
CMB;柬埔寨;;;;;;;;;;;;;;x
INO;印度尼西亚;;;;;;;;;;;;;;x
LAO;老挝;;;;;;;;;;;;;;x
MLY;马来西亚;;;;;;;;;;;;;;x
PHI;菲律宾;;;;;;;;;;;;;;x
SAR;沙捞越;;;;;;;;;;;;;;x
SIA;泰国;;;;;;;;;;;;;;x
VIE;越南;;;;;;;;;;;;;;x
ALG;阿尔及利亚;;;;;;;;;;;;;;x
EGY;埃及;;;;;;;;;;;;;;x
LBY;利比亚;;;;;;;;;;;;;;x
MOR;摩洛哥;;;;;;;;;;;;;;x
SUD;苏丹;;;;;;;;;;;;;;x
TUN;突尼斯;;;;;;;;;;;;;;x
BEN;贝宁;;;;;;;;;;;;;;x
GUI;几内亚;;;;;;;;;;;;;;x
LIB;利比里亚;;;;;;;;;;;;;;x
MAL;马里;;;;;;;;;;;;;;x
NIG;尼日利亚;;;;;;;;;;;;;;x
SIE;塞拉利昂;;;;;;;;;;;;;;x
KON;刚果;;;;;;;;;;;;;;x
ETH;埃塞俄比亚;;;;;;;;;;;;;;x
GAB;加蓬;;;;;;;;;;;;;;x
CAM;喀麦隆;;;;;;;;;;;;;;x
SOM;索马里;;;;;;;;;;;;;;x
ANG;安哥拉;;;;;;;;;;;;;;x
MAD;马达加斯加;;;;;;;;;;;;;;x
MOZ;莫桑比克;;;;;;;;;;;;;;x
NAM;纳米比亚;;;;;;;;;;;;;;x
SAF;南非;;;;;;;;;;;;;;x
AST;澳大利亚;;;;;;;;;;;;;;x
NZL;新西兰;;;;;;;;;;;;;;x
CAN;加拿大;;;;;;;;;;;;;;x
CUB;古巴;;;;;;;;;;;;;;x
COS;哥斯达黎加;;;;;;;;;;;;;;x
DOM;多米尼加;;;;;;;;;;;;;;x
GUA;危地马拉;;;;;;;;;;;;;;x
HAI;海地;;;;;;;;;;;;;;x
HON;洪都拉斯;;;;;;;;;;;;;;x
NIC;尼加拉瓜;;;;;;;;;;;;;;x
PAN;巴拿马;;;;;;;;;;;;;;x
SAL;萨尔瓦多;;;;;;;;;;;;;;x
ARG;阿根廷;;;;;;;;;;;;;;x
BOL;玻利维亚;;;;;;;;;;;;;;x
BRA;巴西;;;;;;;;;;;;;;x
CHL;智利;;;;;;;;;;;;;;x
COL;哥伦比亚;;;;;;;;;;;;;;x
ECU;厄瓜多尔;;;;;;;;;;;;;;x
GUY;圭亚那;;;;;;;;;;;;;;x
MEX;墨西哥;;;;;;;;;;;;;;x
PAR;巴拉圭;;;;;;;;;;;;;;x
PRU;秘鲁;;;;;;;;;;;;;;x
URU;乌拉圭;;;;;;;;;;;;;;x
VEN;委内瑞拉;;;;;;;;;;;;;;x
WAL;威尔士;;;;;;;;;;;;;;x
NIR;北爱尔兰;;;;;;;;;;;;;;x
KOS;科索沃;;;;;;;;;;;;;;x
MAC;马其顿;;;;;;;;;;;;;;x
MLT;马尔他;;;;;;;;;;;;;;x
MOL;摩尔多瓦;;;;;;;;;;;;;;x
TRN;德涅斯特河沿岸摩尔达维亚共和国;;;;;;;;;;;;;;x
KUW;科威特;;;;;;;;;;;;;;x
UAE;阿拉伯联合酋长国;;;;;;;;;;;;;;x
QAT;卡塔尔;;;;;;;;;;;;;;x
BAH;巴林;;;;;;;;;;;;;;x
SAH;阿拉伯撒哈拉民主共和国;;;;;;;;;;;;;;x
MAU;毛里塔尼亚;;;;;;;;;;;;;;x
SEN;塞内加尔;;;;;;;;;;;;;;x
GAM;冈比亚;;;;;;;;;;;;;;x
CVE;佛得角;;;;;;;;;;;;;;x
GUB;几内亚比绍;;;;;;;;;;;;;;x
IVO;科特迪瓦;;;;;;;;;;;;;;x
GHA;加纳;;;;;;;;;;;;;;x
TOG;多哥;;;;;;;;;;;;;;x
BUF;布基纳法索;;;;;;;;;;;;;;x
NIE;尼日尔;;;;;;;;;;;;;;x
CAR;中非;;;;;;;;;;;;;;x
CHA;乍得;;;;;;;;;;;;;;x
SSU;南苏丹;;;;;;;;;;;;;;x
DAR;达尔富尔;;;;;;;;;;;;;;x
ERI;厄立特里亚;;;;;;;;;;;;;;x
DJI;吉布提;;;;;;;;;;;;;;x
STP;圣多美和普林西比;;;;;;;;;;;;;;x
EGU;赤道几内亚;;;;;;;;;;;;;;x
DRC;刚果民主共和国;;;;;;;;;;;;;;x
BUN;布隆迪;;;;;;;;;;;;;;x
UGA;乌干达;;;;;;;;;;;;;;x
RWA;卢旺达;;;;;;;;;;;;;;x
KEN;肯尼亚;;;;;;;;;;;;;;x
MLW;马拉维;;;;;;;;;;;;;;x
ZAM;赞比亚;;;;;;;;;;;;;;x
ZIM;津巴布韦;;;;;;;;;;;;;;x
