##################################################;;;;;;;;;;;;;;x;;;;
# Abilities;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
MAX_STRENGTH;最大兵力;Puissance max;Max. St鋜ke;;Fuerza m醲ima;;;;;;;;;x;;;;
DEFAULT_ORG;组织度;Organisation;Organisation;;Organizaci髇;;;;;;;;;x;;;;
DEFAULT_MORALE;士气;Moral;Moral;;Moral;;;;;;;;;x;;;;
BUILD_COST_IC;IC消耗;Co鹴 de construction CI;IK-Baukosten;;Coste de construcci髇 en CI;;;;;;;;;x;;;;
BUILD_COST_MP;人力消耗;Co鹴 en main d'渦vre;Mannst鋜ke-Kosten;;Coste rec. hum.;;;;;;;;;x;;;;
BUILD_TIME;建造时间;Dur閑 de construction;Bauzeit;;Tiempo cons.;;;;;;;;;x;;;;
MAXIMUM_SPEED;最大速度;Vitesse max;Max. Geschw.;;Velocidad m醲ima;;;;;;;;;x;;;;
TRANSPORT_WEIGHT;运输重量;Poids;Gewicht;;Peso;;;;;;;;;x;;;;
SUPPLY_CONSUMPTION;补给消耗;Consommation en ravitaillement;Nachschubverbrauch;;Consumo suministros;;;;;;;;;x;;;;
FUEL_CONSUMPTION;燃料消耗;Consommation en carburant;Treibstoffverbrauch;;Consumo combustible;;;;;;;;;x;;;;
DEFENSIVENESS;防御能力;Capacit閟 d閒ensives;Verteidigungskraft;;Defensa;;;;;;;;;x;;;;
TOUGHNESS;坚韧程度;R閟istance;Z鋒igkeit;;Resistencia;;;;;;;;;x;;;;
SOFTNESS;非装甲度;Faiblesses;Schw鋍he;;Debilidad;;;;;;;;;x;;;;
AIR_DEFENCE;对空防御;D閒ense a閞ienne;Luftverteidigung;;Defensa a閞ea;;;;;;;;;x;;;;
SUPPRESSION;镇压能力;R閜ression;Unterdr點kung;;Neutralizaci髇;;;;;;;;;x;;;;
SOFT_ATTACK;非装甲攻击;Attaque de cibles non blind閑s;Angr. auf ungep. Ziele;;Ataque antipersonal;;;;;;;;;x;;;;
HARD_ATTACK;装甲攻击;Attaque de cibles blind閑s;Angr. auf gep. Ziele;;Ataque anticarro;;;;;;;;;x;;;;
AIR_ATTACK;对空攻击;Attaque a閞ienne;;;Ataque a閞eo;;;;;;;;;x;;;;
COMBAT_WIDTH;战术宽度;Aire de combat;Gefechtsbreite;;Anchura de combate;;;;;;;;;x;;;;
GDE_FROM_TECH;地面防御效率;Efficacit?de la d閒ense au sol;Bodenverteidigungseffizienz;;Eficacia defensa terrestre;;;;;;;;;x;;;;
DIGIN_FROM_TECH;筑垒能力;Capacit??se retrancher;Max. Eingrabung;;Cap. antrinch.;;;;;;;;;x;;;;
