xxxx;;;;;;;;;;;;;;x
LEDGER_STOCKPILE;返回仓库;Renvoy?es) en r閟erve;Wieder in Lager gebracht;;Devuelta a la reserva;;;;;;;;;x
RES_SHIPPED_BACK;$VAL$返回了仓库。\n;$VAL$ renvoy?es) en r閟erve.\n;$VAL$ wieder in Lager gebracht.\n;;$VAL$ devueltas a la reserva.\n;;;;;;;;;x
alert_national_decisions_instant;国家决议可用;National Decisions Available;Nationale Entscheidungen verf黦bar;;Hay decisiones nacionales disponibles;;;;;;;;;x
alert_national_decisions_delayed;如下决议现在可用：\n$LIST$;The following decisions are available:\n$LIST$;Die folgenden Entscheidungen sind verf黦bar:\n$LIST$;;Est醤 disponibles las siguientes decisiones:\n$LIST$;;;;;;;;;x
SUPPORT_ATTACK_DESC;支援攻击允许一个单位在不进入该省份的情况下支援对目标的进攻。;Une attaque de soutien permet ?une unit?de participer ?l'attaque d'une cible, sans se d閜lacer dans la province concern閑.;Ein Unterst黷zungsangriff erm鰃licht es einer Einheit, beim Angriff auf ein Ziel zu helfen, ohne sich in die entsprechende Provinz zu begeben.;;El ataque de apoyo permite a una unidad participar en el ataque contra una provincia sin desplazarse a ella;;;;;;;;;x
EVTNAME2602;英王乔治五世之死;The Death of King George V;Der Tod von K鰊ig George V;;La muerte del Rey George V;;;;;;;;;x
EVTDESC2602;英王乔治五世于1936年一月20日去世。乔治是一位在政治及\n社会经济方面表现活跃的国王。爱尔兰自由邦在他的统治下\n成立(1922)，并且在1926年大罢工中扮演了调停者的角色。\n他在位时期颁布的最为重要的法律也许应该是威斯敏斯特法\n案(1931)，这使自治领的议会可以不经伦敦皇家的同意而通\n过自己的法律。英联邦依然维系在一起效忠于皇室。乔治五\n世的继承人是他的儿子爱德华八世。;King George V of the United Kingdom passed away on January 20, 1936. King George was an active king on both the political and social-economic fronts. The Irish Free State was set up under his rule (1922) and he played a conciliatory role during the 1926 General Strike. Perhaps the most noteworthy legislation enacted under his reign was the Statute of Westminster (1931) which made it possible for Dominion parliaments to pass their own laws without royal assent from London. The Commonwealth remained linked through common allegiance to the Crown. King George V was succeeded by his son, Edward VIII.;K鰊ig George V des vereinigten K鰊igreiches starb am 20. Januar 1936. Er war sowohl an der politischen als auch an der sozial鰇onomischen Front aktiv. Der freie irische Staat wurde 1922 unter seiner Herrschaft errichtet und er nahm eine vermittelnde Rolle im Generalstreik von 1926 ein. Das vielleicht bemerkenswerteste Gesetz, das unter seiner Herrschaft verabschiedet wurde, war das Statut von Westminster (1931), das es den Parlamenten der Dominions erm鰃lichte, ihre eigenen Gesetze ohne Zustimmung aus London zu verabschieden. Durch die gemeinsame Treue zur Krone blieb das Commonwealth jedoch weiterhin verbunden. K鰊ig George V gab den Thron an seinen Sohn, Edward VIII. weiter.;;George V, Rey del Reino Unido falleci?el 20 de Enero de 1936. Fue un monarca activo tanto en pol韙ica como en temas socioecon髆icos. El Estado Libre Irland閟 se cre?durante su reinado (1922) y jug?un papel conciliador durante la Huelga General de 1926. Quiz醩 la ley m醩 notable de cuantas aprob?durante su reinado fue el Estatuto de Westmister (1931), que permiti?que los parlamentos de los Dominios pudieran aprobar sus propias leyes sin necesidad de ser aprobados por el Rey en Londres. La Commonwealth continu?unida por la com鷑 lealtad a la Corona Brit醤ica. George V fue sucedido por su hijo, Edward VIII.;;;;;;;;;x
EVTOPTA2602;好的;OK;OK;;OK;;;;;;;;;x
constitutional_monarchy;君主立宪制;Monarchie constitutionnelle;Konstitutionelle Monarchie;;Monarqu韆 constitucional;;;;;;;;;x
constitutional_monarchy_ruler;国王;King;K鰊ig;;Rey;;;;;;;;;x
north_germany_region;德国北部;Allemagne du Nord;Norddeutschland;;Alemania del norte;;;;;;;;;x
western_poland_region;波兰西部;Pologne de l'Ouest;Westpolen;;Polonia del oeste;;;;;;;;;x
superior_air_tactician;高级空军战术;Tacticien a閞ien sup閞ieur;躡erlegener Lufttaktiker;;T醕tico superior;;;;;;;;;x
AirOrdersBtn_Point;选择一个省份为目标。;Vise une seule province.;W鋒lt eine einzelne Provinz als Zielbereich.;;Su objetivo es una sola provincia;;;;;;;;;x
AirOrdersBtn_Region;选择一个地区为目标。;Vise une r間ion.;W鋒lt eine Region als Zielbereich.;;Su objetivo es una regi髇;;;;;;;;;x
AirOrdersBtn_Circle;选择一个圈状区域为目标。;Vise une zone circulaire.;W鋒lt ein kreisf鰎miges Gebiet als Zielbereich.;;Su objetivo es una zona circular;;;;;;;;;x
AirOrdersBtn_Conic;选择一个锥状区域为目标。;Vise une section conique.;W鋒lt ein kegelf鰎miges Gebiet als Zielbereich.;;Su objetivo es una zona c髇ica;;;;;;;;;x
LEADER_COMMAND_SIZE;最高部队指挥数;Commandement max;Max. Befehl;;Mando m醲imo;;;;;;;;;x
ENABLE_TECH;允许下列科技的研究：;Permettre de mener des recherches sur ;Erforschung erlauben von ;;Permite investigar;;;;;;;;;x
NO_NEW_SPY;你的间谍已经被重新分配，\n你必须等到$DATE$\n才能再次对他们进行分配;Vos espions ont r閏emment 閠?r閍ffect閟. Pour modifier ?nouveau leur affectation, vous devez attendre la date suivante : $DATE$.;Ihre Spione haben vor kurzem erst neue Befehle erhalten, Sie m黶sen $DATE$ warten, bis Sie ihnen einen neuen Auftrag erteilen k鰊nen.;;Tus esp韆s se han reasignado hace poco. Debes esperar hasta el $DATE$ para volver a reasignarlos;;;;;;;;;x
NO_MULTILOAD;这里没有足够的舰队来装载单位。;Aucune flotte n'est disponible pour ces unit閟.;Es gibt keine Flotte, in die diese Einheiten geladen werden k鰊nen.;;No hay ninguna flota para embarcar estas unidades;;;;;;;;;x
TOTAL_LOAD_WILL_BE;这些单位的总重量为;Les unit閟 p鑣ent un total de;Die Einheit wiegt insgesamt;;Las unidades tienen un peso total de;;;;;;;;;x
MUL_LOAD_ONTO;装载这些单位到;Charger ces unit閟 sur;Diese Einheiten laden auf;;Embarcar estas unidades en;;;;;;;;;x
CURRENT_NUMBER_OF_DIVISIONS;(当前$CURRENT$)\n;(Actuellement : $CURRENT$)\n;(Im Moment $CURRENT$)\n;;(Actualmente $CURRENT$)\n;;;;;;;;x;
NO_REPLACE_MINISTER;没有其他候选人。;Pas d'autres candidats.;Keine anderen Kandidaten;;No hay otros candidatos;;;;;;;;;x
PROV_VIEW_MULTI;选择了多个省份($NUM$);S閘ections multiples ($NUM$);Mehrere ausgew鋒lt($NUM$);;Selecci髇 m鷏tiple ($NUM$);;;;;;;;;x
